video_trending_country,trending_appearances,median_views,mean_like_rate
India,41643,534720.0,3.3424750296939036
Spain,18184,268321.0,5.224397127260524
Nepal,17912,12545516.5,3.021101359009019
Pakistan,16409,12450522.0,2.7942068763248424
United Kingdom,12590,564216.0,3.419428817870689
Australia,9953,990539.0,3.5017120518818348
Sri Lanka,8278,6356504.5,3.114689681679848
Canada,8260,949375.0,3.604479577568412
Ireland,8054,2143550.5,3.2811033442471698
Bangladesh,7993,1072315.0,2.364769859696353
Iceland,7631,2691506.0,3.4749544099155774
Venezuela,7513,724170.0,4.1029132985202335
Colombia,7160,644231.0,4.1624851888393515
Chile,7135,508293.0,4.779422078582398
Paraguay,6911,1003738.0,3.6609854517731804
United Arab Emirates,6904,1170896.5,3.256558316562213
Ecuador,6790,804022.5,3.863567214965114
Singapore,6777,5590851.0,3.6519729405694026
Argentina,6767,553995.0,4.249619977824549
Bolivia,6670,949582.5,3.864048130655953
Costa Rica,6574,1088480.0,4.248137512774276
Uruguay,6432,1164388.0,4.198540848319682
Peru,6368,767321.0,4.114257917625471
United States,6354,880857.5,3.5974514464199223
Papua New Guinea,6353,880917.0,3.597253097474449
Honduras,6276,1099640.0,3.5308927065978035
Guatemala,6247,1035664.0,3.587361035486408
Dominican Republic,6226,1026806.0,3.83493910850752
Mexico,6048,661001.0,3.990544967451854
Malta,5337,6238046.0,3.024910201098965
Nicaragua,5190,1436647.0,3.3373710830134695
Panama,5117,1543579.0,3.8995174261415224
New Zealand,4804,5739928.0,3.507487100505104
El Salvador,4287,1320735.0,3.684321529253985
Kenya,4224,1988768.0,2.153703926876089
Kuwait,4160,4857335.5,2.6441161038765277
Norway,4076,4878599.5,3.845702724534154
Nigeria,3867,1765364.0,2.6165463930367303
Qatar,3766,5402730.0,2.6972215090351868
Austria,3661,1967530.0,3.4774070374059893
Zimbabwe,3647,2164745.0,2.2247999255314617
Saudi Arabia,3596,2091477.0,2.961681949225548
Germany,3574,1871981.5,3.340276310942078
Ghana,3471,2618097.0,2.7188959731853424
Oman,3360,6315864.0,2.5737004856057855
Sweden,3332,3942493.0,3.981312409928828
Luxembourg,3219,6214108.0,2.924352609074045
Denmark,3161,2651052.0,3.883172603097846
Estonia,3151,6384081.0,3.377789200916539
Uganda,3106,2251859.5,1.9184341840740393
Puerto Rico,3011,2225752.0,4.352738007986358
Finland,2708,5502911.5,4.160955901003857
Indonesia,2552,1426781.0,1.8053185012146946
Liechtenstein,2504,8758922.5,3.7349908281717594
Bahrain,2504,10211372.5,2.602445566363205
Switzerland,2503,8775309.0,3.73737740570544
Tanzania,2460,3623588.0,1.9047928944164814
Cyprus,2341,8380525.0,2.7878706521298993
Netherlands,2333,4813285.0,3.838936931730813
South Africa,2304,5928031.5,2.929400256877955
Slovenia,2274,11194232.0,3.3547270133799736
Greece,2205,5705837.0,2.914488702917223
Senegal,2128,21251955.5,1.6175693438808545
Malaysia,2017,11370542.0,2.316296934267203
Belgium,1986,9408851.0,3.7732199938735835
Egypt,1973,842561.0,2.3729645888624122
Cambodia,1850,21972770.0,1.833922774914156
Iraq,1826,1576174.0,2.329914525878188
Croatia,1791,12710577.0,3.434655205967599
Morocco,1781,1085233.0,2.038626112960388
Algeria,1773,836809.0,1.9272998660307714
Lithuania,1715,10471174.0,3.469387951350043
France,1660,1131741.0,2.8966018697773483
Jamaica,1608,6485882.5,3.347487370648683
North Macedonia,1598,17755177.5,1.9962970694897852
Philippines,1582,1397021.0,1.9544502337230518
Bulgaria,1441,16064343.0,2.7590552341362673
Slovakia,1395,17795069.0,3.314755968046616
Hungary,1342,14803229.0,3.239684223925463
Italy,1336,1807147.5,2.795327188764031
Portugal,1324,5329087.0,3.2176562145043928
Latvia,1295,7593478.0,2.9878431289167633
Laos,1284,19370619.0,1.5013714681866623
Israel,1254,17291661.5,3.2050679343152146
Georgia,1247,21322533.0,1.816596098180718
Jordan,1111,1665103.0,2.1661025827373397
Tunisia,1092,2393934.5,1.69753909387125
Yemen,1075,1595603.0,2.1706032594494586
Czechia,1066,15918246.0,3.356888354395883
Hong Kong,1056,14495359.0,2.8151500205623154
Serbia,1041,18174060.0,3.0112976782024092
Libya,993,2028010.0,1.9293816472756669
Romania,978,15657383.0,3.3946865220889344
Montenegro,919,15013214.0,2.0593367979679873
Bosnia and Herzegovina,882,21509203.0,2.573930764729967
Lebanon,707,4251042.0,1.9124990559693467
Moldova,677,5408434.0,1.5394697222099194
Russia,672,1307759.5,3.2103027779384723
Brazil,650,681362.5,5.185734393956511
Poland,631,8467351.0,2.7552816557534574
Thailand,591,4725039.0,2.0787270890227187
Kazakhstan,473,22481148.0,1.8481395518565875
Ukraine,464,1629272.5,2.0431008509583695
Belarus,439,3875174.0,2.3411657348617294
Azerbaijan,334,42647163.5,1.9323777253186967
Taiwan,328,11675742.0,2.0973974371375563
Turkey,289,8396857.0,2.288662966163379
Japan,199,1260408.0,2.077455790538814
Vietnam,185,7576147.0,1.906644608036978
South Korea,184,314837.0,2.617808807998187
